NCCP's Family Resource Simulator: KY 2020 (nccp.org/tools/frs).
Output Generated Mon May 18 13:38:40 2020.  Results reflect user choices.

Federal Earned Income Tax Credit,State Earned Income Tax Credit,State Child and Dependent Care Tax Credit (nonrefundable),Earnings,Net Resources,Child Support,TANF,SNAP/Food Stamps,Fed Tax Credits,State Tax Credits,Local Tax Credits,Public Health Insurance Premiums,Premium Tax Credit,Health Insurance,Child Care,Transportation,Housing,Food,Family Foodcost,Lifeline Subsidy,Other Necessities,Debt Payment,Payroll Tax,Tax Excluding Credits,Tax Including Credits,Fed Gross Tax,Federal EITC,Child Tax Credit,Federal Child and Dependent Care Tax Credit,Fed CADC,State Gross Tax,State EITC,State Child Care Tax Credit,Parent's Health Coverage,1st Child's Health Coverage,2nd Child's Health Coverage,3rd Child's Health Coverage,4th Child's Health Coverage,5th Child's Health Coverage,Interest from Savings,WIC,Afterschool costs,Disability personal and work expenses,Sales Tax,Savings from free or reduced-price meals for children,SSI,Savings from LIHEAP,Savings from DC's Utility Discount Program,
1,0,1,10000,-988.11568833025,0,545.6,6108,5125,370.5,0,0,0,300,8910.86,312,990.56,5675.28787531228,7016.94,111,5366.04510662073,0,765,495.5,-5000,0,4000,1125,1,0,370.5,0,0,Medicaid,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,64,0,
1,0,1,11000,-118.155688330251,0,0,6108,5675,420.5,0,0,0,300,8910.86,312,1036,5675.28787531228,7016.94,111,5366.04510662073,0,841.5,558,-5537.5,0,4400,1275,1,0,420.5,0,0,Medicaid,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,64,0,
1,0,1,12000,5039.35191166975,0,0,5604.5496,6225,470.5,0,0,0,300,3569.86,312,2177.042,5675.28787531228,7016.94,111,5366.04510662073,0,918,620.5,-6075,0,4800,1425,1,0,470.5,0,0,Medicaid,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,64,0,
1,0,1,13000,5721.25191166975,0,0,5555.9496,6775,520.5,0,0,0,300,4184.86,312,2292.542,5675.28787531228,7016.94,111,5366.04510662073,0,994.5,683,-6612.5,0,5200,1575,1,0,520.5,0,0,Medicaid,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,64,0,
1,0,1,14000,6559.21191166975,0,0,5342.1096,7325,570.5,0,0,0,300,4340.86,312,2545.742,5675.28787531228,7016.94,111,5366.04510662073,0,1071,745.5,-7150,0,5600,1725,1,0,570.5,0,0,Medicaid,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,64,0,
1,0,1,15000,6983.91891166975,0,0,5379.8316,7795,620.5,0,0,0,300,5212.31,416,2564.307,5675.28787531228,7016.94,111,5366.04510662073,0,1147.5,808,-7607.5,0,5920,1875,1,0,620.5,0,0,Medicaid,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,84,0,
1,0,1,16000,7460.97891166975,0,0,5124.5916,7945,670.5,0,0,0,300,5253.31,416,2852.007,5675.28787531228,7016.94,111,5366.04510662073,0,1224,870.5,-7745,0,5920,2025,1,0,670.5,0,0,Medicaid,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,84,0,
1,0,1,17000,7895.19891166975,0,0,4914.7116,8095,720.5,0,0,0,300,5420.31,416,3101.907,5675.28787531228,7016.94,111,5366.04510662073,0,1300.5,933,-7882.5,0,5920,2175,1,0,720.5,0,0,Medicaid,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,84,0,
1,0,1,18000,8163.15891166975,0,0,4880.8716,8245,770.5,0,0,0,300,6076.31,416,3205.107,5675.28787531228,7016.94,111,5366.04510662073,0,1377,995.5,-8020,0,5920,2325,1,0,770.5,0,0,Medicaid,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,84,0,
1,0,1,19000,8275.28591166975,0,0,4901.9136,8430,820.5,0,0,0,300,6884.76,520,3262.572,5675.28787531228,7016.94,111,5366.04510662073,0,1453.5,1093,-8157.5,35,5920,2475,1,35,820.5,0,0,Medicaid,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,84,0,
1,0,1,20000,8550.82591166975,0,0,4710.7536,8539,870.5,0,0,0,300,7103.76,520,3496.872,5675.28787531228,7016.94,111,5366.04510662073,0,1530,1255.5,-8154,135,5779,2625,1,135,870.5,0,0,Medicaid,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,84,0,
1,0,1,21000,8742.42591166975,0,0,4534.3536,8578,920.5,0,0,0,300,7363.76,520,3718.872,5675.28787531228,7016.94,111,5366.04510662073,0,1606.5,1418,-8080.5,235,5568,2775,1,235,920.5,0,0,Medicaid,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,84,0,
1,0,1,22000,8815.82591166975,0,0,4356.7536,8493,973.5,0,0,0,300,7623.76,520,3936.872,5675.28787531228,7016.94,111,5366.04510662073,0,1683,1580.5,-7886,335,5358,2800,1,335,970.5,0,97.05,Medicaid,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,88,0,
1,0,1,23000,8637.38591166975,0,0,4416.5136,8382,1026.5,0,0,0,300,8539.76,520,3962.072,5675.28787531228,7016.94,111,5366.04510662073,0,1759.5,1743,-7665.5,435,5147,2800,1,435,1020.5,0,204.1,Medicaid,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,88,0,
1,0,1,24000,8740.83931166976,0,0,4102.41,8271,1008.3,0,0,0,300,8417.25,520,4298.825,5675.28787531228,7016.94,111,5366.04510662073,0,1836,1905.5,-7373.8,535,4936,2800,1,535,1070.5,0,360,Medicaid,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,88,0,
1,0,1,25000,8737.78931166975,0,0,3832.41,8161,924.25,0,0,0,300,8417.25,520,4598.825,5675.28787531228,7016.94,111,5366.04510662073,0,1912.5,2068,-7017.25,635,4726,2800,1,635,1120.5,0,360,Medicaid,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,88,0,
1,0,1,26000,8709.73931166975,0,0,3562.41,8050,816.2,0,0,0,300,8417.25,520,4898.825,5675.28787531228,7016.94,111,5366.04510662073,0,1989,2230.5,-6635.7,735,4515,2800,1,735,1170.5,0,348,Medicaid,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,88,0,
1,0,1,27000,8600.28931166975,0,0,3386.01,7940,714.15,0,0,0,300,8677.25,520,5120.825,5675.28787531228,7016.94,111,5366.04510662073,0,2065.5,2393,-6261.15,835,4305,2800,1,835,1220.5,0,348,Medicaid,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,88,0,
1,0,1,28000,5131.17931166975,0,0,0,7829,463.05,0,0,0,300,8937.25,520,5342.825,5675.28787531228,7016.94,111,5366.04510662073,0,2142,2555.5,-5736.55,935,4094,2800,1,935,1270.5,0,336,Medicaid,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,88,0,
1,0,1,29000,5266.12931166975,0,0,0,7718,336,0,0,0,300,8937.25,520,5730.825,5675.28787531228,7016.94,111,5366.04510662073,0,2218.5,2718,-5336,1035,3883,2800,1,1035,1320.5,0,336,Medicaid,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,0,0,
1,0,1,30000,3790.12931166975,0,0,0,7608,324,0,0,0,1933,9197.25,520,5952.825,5675.28787531228,7016.94,111,5366.04510662073,0,2295,2880.5,-5051.5,1135,3673,2800,1,1135,1370.5,0,324,employer,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,0,0,
1,0,1,31000,4140.12931166975,0,0,0,7497,324,0,0,0,1933,9197.25,520,6252.825,5675.28787531228,7016.94,111,5366.04510662073,0,2371.5,3043,-4778,1235,3462,2800,1,1235,1420.5,0,324,employer,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,0,0,
1,0,1,32000,4479.12931166975,0,0,0,7387,312,0,0,0,1933,9197.25,520,6552.825,5675.28787531228,7016.94,111,5366.04510662073,0,2448,3205.5,-4493.5,1335,3252,2800,1,1335,1470.5,0,312,employer,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,0,0,
1,0,1,33000,4829.12931166975,0,0,0,7281,312,0,0,0,1933,9197.25,520,6852.825,5675.28787531228,7016.94,111,5366.04510662073,0,2524.5,3373,-4220,1440,3041,2800,1,1440,1520.5,0,312,employer,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,0,0,
1,0,1,34000,5167.12931166975,0,0,0,7190,300,0,0,0,1933,9197.25,520,7152.825,5675.28787531228,7016.94,111,5366.04510662073,0,2601,3555.5,-3934.5,1560,2830,2860,1,1500,1570.5,0,300,employer,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,0,0,
1,0,1,35000,5518.12931166975,0,0,0,7100,300,0,0,0,1933,9197.25,520,7452.825,5675.28787531228,7016.94,111,5366.04510662073,0,2677.5,3738,-3662,1680,2620,2980,1,1500,1620.5,0,300,employer,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,0,0,
1,0,1,36000,5856.12931166975,0,0,0,7009,288,0,0,0,1933,9197.25,520,7752.825,5675.28787531228,7016.94,111,5366.04510662073,0,2754,3920.5,-3376.5,1800,2409,3160,1,1440,1670.5,0,288,employer,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,0,0,
1,0,1,37000,6207.12931166975,0,0,0,6919,288,0,0,0,1933,9197.25,520,8052.825,5675.28787531228,7016.94,111,5366.04510662073,0,2830.5,4103,-3104,1920,2199,3280,1,1440,1720.5,0,288,employer,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,0,0,
1,0,1,38000,6545.12931166975,0,0,0,6828,276,0,0,0,1933,9197.25,520,8352.825,5675.28787531228,7016.94,111,5366.04510662073,0,2907,4285.5,-2818.5,2040,1988,3460,1,1380,1770.5,0,276,employer,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,0,0,
1,0,1,39000,6895.12931166975,0,0,0,6737,276,0,0,0,1933,9197.25,520,8652.825,5675.28787531228,7016.94,111,5366.04510662073,0,2983.5,4468,-2545,2160,1777,3580,1,1380,1820.5,0,276,employer,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,0,0,
1,0,1,40000,7234.12931166975,0,0,0,6647,264,0,0,0,1933,9197.25,520,8952.825,5675.28787531228,7016.94,111,5366.04510662073,0,3060,4650.5,-2260.5,2280,1567,3760,1,1320,1870.5,0,264,employer,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,0,0,
1,0,1,41000,6428.19903345733,0,0,0,6556,264,0,0,0,1933,9197.25,520,9252.825,6831.21815352469,7016.94,111,5366.04510662073,0,3136.5,4833,-1987,2400,1356,3880,1,1320,1920.5,0,264,employer,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,0,0,0,321.962706397244,185.721846475311,0,0,0,
1,0,1,42000,1198.19903345733,0,0,0,6406,252,0,0,0,1933,17067.25,520,7191.825,6831.21815352469,7016.94,111,5366.04510662073,0,3213,5015.5,-1642.5,2520,1146,4000,1,1260,1970.5,0,252,employer,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,0,0,0,321.962706397244,185.721846475311,0,0,0,
1,0,1,43000,1428.19903345733,0,0,0,6195,252,0,0,0,1933,17067.25,520,7491.825,6831.21815352469,7016.94,111,5366.04510662073,0,3289.5,5198,-1249,2640,935,4000,1,1260,2020.5,0,252,employer,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,0,0,0,321.962706397244,185.721846475311,0,0,0,
1,0,1,44000,1586.19903345733,0,0,0,5924,240,0,0,0,1933,17067.25,520,7791.825,6831.21815352469,7016.94,111,5366.04510662073,0,3366,5380.5,-783.5,2760,724,4000,1,1200,2070.5,0,240,employer,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,0,0,0,321.962706397244,185.721846475311,0,0,0,
1,0,1,45000,1817.19903345733,0,0,0,5714,240,0,0,0,1933,17067.25,520,8091.825,6831.21815352469,7016.94,111,5366.04510662073,0,3442.5,5563,-391,2880,514,4000,1,1200,2120.5,0,240,employer,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,0,0,0,321.962706397244,185.721846475311,0,0,0,
1,0,1,46000,2047.19903345733,0,0,0,5503,240,0,0,0,1933,17067.25,520,8391.825,6831.21815352469,7016.94,111,5366.04510662073,0,3519,5745.5,2.5,3000,303,4000,1,1200,2170.5,0,240,employer,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,0,0,0,321.962706397244,185.721846475311,0,0,0,
1,0,1,47000,-1470.80096654267,0,0,0,5293,240,0,0,0,5682,17067.25,520,8691.825,6831.21815352469,7016.94,111,5366.04510662073,0,3595.5,5928,395,3120,93,4000,1,1200,2220.5,0,240,employer,employer,employer,NA,NA,NA,0,0,0,0,321.962706397244,185.721846475311,0,0,0,
1,0,1,48000,-1122.80096654267,0,0,0,5200,240,0,0,0,5682,17067.25,520,8991.825,6831.21815352469,7016.94,111,5366.04510662073,0,3672,6110.5,670.5,3240,0,4000,1,1200,2270.5,0,240,employer,employer,employer,NA,NA,NA,0,0,0,0,321.962706397244,185.721846475311,0,0,0,
1,0,1,49000,-681.800966542665,0,0,0,5200,240,0,0,0,5682,17067.25,520,9291.825,6831.21815352469,7016.94,111,5366.04510662073,0,3748.5,6293,853,3360,0,4000,1,1200,2320.5,0,240,employer,employer,employer,NA,NA,NA,0,0,0,0,321.962706397244,185.721846475311,0,0,0,
1,0,1,50000,-240.800966542665,0,0,0,5200,240,0,0,0,5682,17067.25,520,9591.825,6831.21815352469,7016.94,111,5366.04510662073,0,3825,6475.5,1035.5,3480,0,4000,1,1200,2370.5,0,240,employer,employer,employer,NA,NA,NA,0,0,0,0,321.962706397244,185.721846475311,0,0,0,
1,0,1,51000,200.199033457335,0,0,0,5200,240,0,0,0,5682,17067.25,520,9891.825,6831.21815352469,7016.94,111,5366.04510662073,0,3901.5,6658,1218,3600,0,4000,1,1200,2420.5,0,240,employer,employer,employer,NA,NA,NA,0,0,0,0,321.962706397244,185.721846475311,0,0,0,
1,0,1,52000,641.199033457335,0,0,0,5200,240,0,0,0,5682,17067.25,520,10191.825,6831.21815352469,7016.94,111,5366.04510662073,0,3978,6840.5,1400.5,3720,0,4000,1,1200,2470.5,0,240,employer,employer,employer,NA,NA,NA,0,0,0,0,321.962706397244,185.721846475311,0,0,0,
1,0,1,53000,1000.46075940947,0,0,0,5200,240,0,0,0,5682,17067.25,520,10464,6831.21815352469,7016.94,0,5469.40668591116,0,4054.5,7023,1583,3840,0,4000,1,1200,2520.5,0,240,employer,employer,employer,NA,NA,NA,0,0,0,0,328.16440115467,185.721846475311,0,0,0,
1,0,1,54000,1741.46075940947,0,0,0,5200,240,0,0,0,5682,17067.25,520,10464,6831.21815352469,7016.94,0,5469.40668591116,0,4131,7205.5,1765.5,3960,0,4000,1,1200,2570.5,0,240,employer,employer,employer,NA,NA,NA,0,0,0,0,328.16440115467,185.721846475311,0,0,0,
1,0,1,55000,2482.46075940947,0,0,0,5200,240,0,0,0,5682,17067.25,520,10464,6831.21815352469,7016.94,0,5469.40668591116,0,4207.5,7388,1948,4080,0,4000,1,1200,2620.5,0,240,employer,employer,employer,NA,NA,NA,0,0,0,0,328.16440115467,185.721846475311,0,0,0,
1,0,1,56000,3223.46075940947,0,0,0,5200,240,0,0,0,5682,17067.25,520,10464,6831.21815352469,7016.94,0,5469.40668591116,0,4284,7570.5,2130.5,4200,0,4000,1,1200,2670.5,0,240,employer,employer,employer,NA,NA,NA,0,0,0,0,328.16440115467,185.721846475311,0,0,0,
1,0,1,57000,3964.46075940947,0,0,0,5200,240,0,0,0,5682,17067.25,520,10464,6831.21815352469,7016.94,0,5469.40668591116,0,4360.5,7753,2313,4320,0,4000,1,1200,2720.5,0,240,employer,employer,employer,NA,NA,NA,0,0,0,0,328.16440115467,185.721846475311,0,0,0,
1,0,1,58000,4705.46075940947,0,0,0,5200,240,0,0,0,5682,17067.25,520,10464,6831.21815352469,7016.94,0,5469.40668591116,0,4437,7935.5,2495.5,4440,0,4000,1,1200,2770.5,0,240,employer,employer,employer,NA,NA,NA,0,0,0,0,328.16440115467,185.721846475311,0,0,0,
1,0,1,59000,5446.46075940947,0,0,0,5200,240,0,0,0,5682,17067.25,520,10464,6831.21815352469,7016.94,0,5469.40668591116,0,4513.5,8118,2678,4560,0,4000,1,1200,2820.5,0,240,employer,employer,employer,NA,NA,NA,0,0,0,0,328.16440115467,185.721846475311,0,0,0,
1,0,1,60000,6187.46075940947,0,0,0,5200,240,0,0,0,5682,17067.25,520,10464,6831.21815352469,7016.94,0,5469.40668591116,0,4590,8300.5,2860.5,4680,0,4000,1,1200,2870.5,0,240,employer,employer,employer,NA,NA,NA,0,0,0,0,328.16440115467,185.721846475311,0,0,0,
1,0,1,61000,6928.46075940947,0,0,0,5200,240,0,0,0,5682,17067.25,520,10464,6831.21815352469,7016.94,0,5469.40668591116,0,4666.5,8483,3043,4800,0,4000,1,1200,2920.5,0,240,employer,employer,employer,NA,NA,NA,0,0,0,0,328.16440115467,185.721846475311,0,0,0,
1,0,1,62000,7669.46075940947,0,0,0,5200,240,0,0,0,5682,17067.25,520,10464,6831.21815352469,7016.94,0,5469.40668591116,0,4743,8665.5,3225.5,4920,0,4000,1,1200,2970.5,0,240,employer,employer,employer,NA,NA,NA,0,0,0,0,328.16440115467,185.721846475311,0,0,0,
1,0,1,63000,8410.46075940947,0,0,0,5200,240,0,0,0,5682,17067.25,520,10464,6831.21815352469,7016.94,0,5469.40668591116,0,4819.5,8848,3408,5040,0,4000,1,1200,3020.5,0,240,employer,employer,employer,NA,NA,NA,0,0,0,0,328.16440115467,185.721846475311,0,0,0,
1,0,1,64000,9151.46075940947,0,0,0,5200,240,0,0,0,5682,17067.25,520,10464,6831.21815352469,7016.94,0,5469.40668591116,0,4896,9030.5,3590.5,5160,0,4000,1,1200,3070.5,0,240,employer,employer,employer,NA,NA,NA,0,0,0,0,328.16440115467,185.721846475311,0,0,0,
1,0,1,65000,9892.46075940947,0,0,0,5200,240,0,0,0,5682,17067.25,520,10464,6831.21815352469,7016.94,0,5469.40668591116,0,4972.5,9213,3773,5280,0,4000,1,1200,3120.5,0,240,employer,employer,employer,NA,NA,NA,0,0,0,0,328.16440115467,185.721846475311,0,0,0,
1,0,1,66000,10633.4607594095,0,0,0,5200,240,0,0,0,5682,17067.25,520,10464,6831.21815352469,7016.94,0,5469.40668591116,0,5049,9395.5,3955.5,5400,0,4000,1,1200,3170.5,0,240,employer,employer,employer,NA,NA,NA,0,0,0,0,328.16440115467,185.721846475311,0,0,0,
1,0,1,67000,11374.4607594095,0,0,0,5200,240,0,0,0,5682,17067.25,520,10464,6831.21815352469,7016.94,0,5469.40668591116,0,5125.5,9578,4138,5520,0,4000,1,1200,3220.5,0,240,employer,employer,employer,NA,NA,NA,0,0,0,0,328.16440115467,185.721846475311,0,0,0,
1,0,1,68000,12115.4607594095,0,0,0,5200,240,0,0,0,5682,17067.25,520,10464,6831.21815352469,7016.94,0,5469.40668591116,0,5202,9760.5,4320.5,5640,0,4000,1,1200,3270.5,0,240,employer,employer,employer,NA,NA,NA,0,0,0,0,328.16440115467,185.721846475311,0,0,0,
1,0,1,69000,12856.4607594095,0,0,0,5200,240,0,0,0,5682,17067.25,520,10464,6831.21815352469,7016.94,0,5469.40668591116,0,5278.5,9943,4503,5760,0,4000,1,1200,3320.5,0,240,employer,employer,employer,NA,NA,NA,0,0,0,0,328.16440115467,185.721846475311,0,0,0,
1,0,1,70000,13597.4607594095,0,0,0,5200,240,0,0,0,5682,17067.25,520,10464,6831.21815352469,7016.94,0,5469.40668591116,0,5355,10125.5,4685.5,5880,0,4000,1,1200,3370.5,0,240,employer,employer,employer,NA,NA,NA,0,0,0,0,328.16440115467,185.721846475311,0,0,0,
1,0,1,71000,14338.4607594095,0,0,0,5200,240,0,0,0,5682,17067.25,520,10464,6831.21815352469,7016.94,0,5469.40668591116,0,5431.5,10308,4868,6000,0,4000,1,1200,3420.5,0,240,employer,employer,employer,NA,NA,NA,0,0,0,0,328.16440115467,185.721846475311,0,0,0,
1,0,1,72000,15079.4607594095,0,0,0,5200,240,0,0,0,5682,17067.25,520,10464,6831.21815352469,7016.94,0,5469.40668591116,0,5508,10490.5,5050.5,6120,0,4000,1,1200,3470.5,0,240,employer,employer,employer,NA,NA,NA,0,0,0,0,328.16440115467,185.721846475311,0,0,0,
1,0,1,73000,15755.4607594095,0,0,0,5200,240,0,0,0,5682,17067.25,520,10464,6831.21815352469,7016.94,0,5469.40668591116,0,5584.5,10738,5298,6305,0,4000,1,1200,3520.5,0,240,employer,employer,employer,NA,NA,NA,0,0,0,0,328.16440115467,185.721846475311,0,0,0,
1,0,1,74000,16396.4607594095,0,0,0,5200,240,0,0,0,5682,17067.25,520,10464,6831.21815352469,7016.94,0,5469.40668591116,0,5661,11020.5,5580.5,6525,0,4000,1,1200,3570.5,0,240,employer,employer,employer,NA,NA,NA,0,0,0,0,328.16440115467,185.721846475311,0,0,0,
1,0,1,75000,17037.4607594095,0,0,0,5200,240,0,0,0,5682,17067.25,520,10464,6831.21815352469,7016.94,0,5469.40668591116,0,5737.5,11303,5863,6745,0,4000,1,1200,3620.5,0,240,employer,employer,employer,NA,NA,NA,0,0,0,0,328.16440115467,185.721846475311,0,0,0,
